file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,64,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,13
style.css,65,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,17
style.css,66,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,16
style.css,67,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,0
style.css,68,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,0
style.css,69,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,9
style.css,70,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,13
style.css,71,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,13
style.css,72,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,10
style.css,73,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,13
style.css,74,css,2d474641,Avi Mehta,2025-01-31,22:16:51,-08:00,2025-01-31T22:16:51-08:00,1,36
style.css,75,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,17
style.css,76,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,12
style.css,77,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,21
style.css,78,css,2d474641,Avi Mehta,2025-01-31,22:16:51,-08:00,2025-01-31T22:16:51-08:00,1,48
style.css,79,css,48176e6f,avimehta30,2025-01-17,04:59:30,-08:00,2025-01-17T04:59:30-08:00,0,0
style.css,80,css,48176e6f,avimehta30,2025-01-17,04:59:30,-08:00,2025-01-17T04:59:30-08:00,0,0
style.css,81,css,48176e6f,avimehta30,2025-01-17,04:59:30,-08:00,2025-01-17T04:59:30-08:00,0,22
style.css,82,css,48176e6f,avimehta30,2025-01-17,04:59:30,-08:00,2025-01-17T04:59:30-08:00,0,26
style.css,83,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,10
style.css,84,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,0
style.css,85,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,0
style.css,86,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,13
style.css,87,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,15
style.css,88,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,16
style.css,89,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,0
style.css,90,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,0
style.css,91,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,11
style.css,92,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,18
style.css,93,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,14
style.css,94,css,2d474641,Avi Mehta,2025-01-31,22:16:51,-08:00,2025-01-31T22:16:51-08:00,1,36
style.css,95,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,10
style.css,96,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,11
style.css,97,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,17
style.css,98,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,13
style.css,99,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,16
style.css,100,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,14
style.css,101,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,37
style.css,102,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,0,0
style.css,103,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,0,0
style.css,104,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,17
style.css,105,css,2d474641,Avi Mehta,2025-01-31,22:16:51,-08:00,2025-01-31T22:16:51-08:00,1,68
style.css,106,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,0
